# #Voltage (V)	 Balanced Pumped	 Balanced Umpumed	 referenceDiode closed	 referenceDiode	 Diode+ Pumped	 Diode+ Unpumped	 Diode- Pumped	 Diode- Unpumped
0.000000000000000000e+00	-6.866045528389124429e-03	-8.340944743243517822e-04	-1.018786614019153713e-01	-1.008778125468082904e-01	1.414601783504650656e-01	1.418397492022703821e-01	2.004945399841649711e-02	2.053286951094575319e-02
5.000000000000000278e-02	5.073559819399253018e-02	5.461008438116803088e-02	-1.022618128415654221e-01	-1.011607000595807215e-01	1.420349059124842439e-01	1.423715064797863861e-01	1.925271361868559697e-02	1.974508126893606899e-02
1.000000000000000056e-01	4.763278651025260046e-02	5.426811261776531142e-02	-1.017819783284825003e-01	-1.011105680951884522e-01	1.421709784828040224e-01	1.421996253388446985e-01	1.984176437144201388e-02	1.999574116383586245e-02
1.500000000000000222e-01	6.239665594788983138e-02	6.611716546982483733e-02	-1.018750805483690930e-01	-1.006092484530072967e-01	1.422193200527173684e-01	1.424825130494751790e-01	2.004766357046142838e-02	2.043797683574383184e-02
2.000000000000000111e-01	8.026512837986324311e-02	8.152917064580271489e-02	-1.017533314919568804e-01	-1.014704439805454161e-01	1.423912011936009914e-01	1.426042621903599872e-01	2.052928865467901903e-02	2.035919801165314222e-02
2.500000000000000000e-01	8.182459166788910720e-02	8.396236265797142606e-02	-1.019162603747829632e-01	-1.008420040008080748e-01	1.423947820505996331e-01	1.426329090477103101e-01	2.003871143189911441e-02	2.024998191425221583e-02
3.000000000000000444e-01	1.062872124150609915e-01	1.094007673564240113e-01	-1.021615489134703181e-01	-1.011911373227535604e-01	1.420546006273753215e-01	1.422139487674016489e-01	1.972538656296872125e-02	1.989905806162414401e-02
3.500000000000000333e-01	1.184782388799082986e-01	1.231136581212865788e-01	-1.017211038012382635e-01	-1.012591735599375070e-01	1.422282721957483786e-01	1.419865643418245782e-01	2.023744892019018263e-02	2.017657437359646547e-02
4.000000000000000222e-01	1.153772171870378754e-01	1.157890156060096820e-01	-1.017390080732200053e-01	-1.012215745869210204e-01	1.422998893378484841e-01	1.424449140498305899e-01	2.019089779628050960e-02	2.028041918736206428e-02
4.500000000000000111e-01	7.773704395636894804e-02	8.015949323284501937e-02	-1.018374815741436568e-01	-1.011553287770649012e-01	1.417878267738479359e-01	1.419149472005651336e-01	2.008884341037785876e-02	1.993844747341602663e-02
5.000000000000000000e-01	7.699580653923551732e-02	8.154349394182683342e-02	-1.015545940628636568e-01	-1.009655434838882121e-01	1.410591223573931796e-01	1.408514326469628986e-01	1.938341484966000713e-02	1.920258164011033261e-02
5.500000000000000444e-01	9.173461126478330008e-02	9.765197661816509000e-02	-1.018768709751462220e-01	-1.010282084396556396e-01	1.413294770663013900e-01	1.412202609259811670e-01	2.210486514488375215e-02	2.217648225836727285e-02
6.000000000000000888e-01	1.030196808123164387e-01	1.065092254990751275e-01	-1.017085708100261693e-01	-1.014973003896410819e-01	1.411629672124313783e-01	1.409033550742738727e-01	2.318807398934287500e-02	2.304483976135006731e-02
6.500000000000000222e-01	1.028406380034707912e-01	1.041655547630593592e-01	-1.020612849853165527e-01	-1.011105680953502534e-01	1.403322083705859091e-01	1.404682809402552079e-01	2.000290287570181263e-02	2.026609576595910650e-02
7.000000000000000666e-01	9.327258933401706698e-02	9.535664758957200504e-02	-1.020201051581607204e-01	-1.011535383497927376e-01	1.402534295156751820e-01	1.404664905115552143e-01	2.090527850161992551e-02	2.101449459974731246e-02
7.500000000000000000e-01	1.191210028381777808e-01	1.221325033723762304e-01	-1.018697092657249031e-01	-1.010174658752403948e-01	1.408120432192337124e-01	1.406616472215114211e-01	2.157131765176971069e-02	2.138869401374281914e-02
8.000000000000000444e-01	1.053776746192015973e-01	1.099969797406808725e-01	-1.017300559375607649e-01	-1.011356340770836748e-01	1.407798155051250555e-01	1.407547495053011188e-01	2.194730749555827767e-02	2.198490648041130993e-02
8.500000000000000888e-01	1.123191654908496512e-01	1.146932733420112371e-01	-1.022206330135594921e-01	-1.009494296385974876e-01	1.404700713684107760e-01	1.408747082184453603e-01	1.943354682919230803e-02	1.974866212487301834e-02
9.000000000000000222e-01	1.340191580703171403e-01	1.372580430423092357e-01	-1.019896678935667406e-01	-1.008151475918544621e-01	1.406133056513212687e-01	1.409588583595106359e-01	2.177542642606728959e-02	2.191149894246745278e-02
9.500000000000000666e-01	1.644725579942101223e-01	1.666712043453829895e-01	-1.021132073767419268e-01	-1.007399496458830507e-01	1.410770266429459963e-01	1.411826619262495086e-01	2.146210155460398505e-02	2.151939524610372093e-02
1.000000000000000000e+00	1.970601526966481720e-01	2.019927844718062138e-01	-1.020111530217404638e-01	-1.010890829673094099e-01	1.411808714973591394e-01	1.418200544874149427e-01	2.223377594811126387e-02	2.302693547906278781e-02
1.050000000000000044e+00	1.868296420744002539e-01	1.923065641516088220e-01	-1.019019369564564403e-01	-1.008115667373208485e-01	1.406401620797937124e-01	1.407923485044591527e-01	2.045588111529086581e-02	2.041112041980495256e-02
1.100000000000000089e+00	1.813312350376592719e-01	1.817072251136173378e-01	-1.017604932015273023e-01	-1.012305267228827410e-01	1.404432149404303276e-01	1.404826043682120829e-01	2.234836332964258362e-02	2.262408921680537921e-02
1.150000000000000133e+00	1.856014078746043294e-01	1.897623647298568028e-01	-1.017336367917478085e-01	-1.009476392115944005e-01	1.401388420902862364e-01	1.401209378044392939e-01	2.190075637150547955e-02	2.197595434035156878e-02
1.200000000000000178e+00	2.112385598971507905e-01	2.153959360954714741e-01	-1.018625475564476218e-01	-1.012824491144756617e-01	1.405005086537627901e-01	1.406150960794302629e-01	2.253635825235986850e-02	2.252024440150030005e-02
1.250000000000000000e+00	2.301508629002128326e-01	2.377046836404276275e-01	-1.016459058548020294e-01	-1.014077790248225780e-01	1.404163585125856317e-01	1.406365812225626732e-01	2.108253085460604775e-02	2.108253085470796276e-02
1.300000000000000044e+00	2.665717763412097652e-01	2.730316460555650693e-01	-1.019323742204841232e-01	-1.011678617685474041e-01	1.410644936434298224e-01	1.412811354958680987e-01	2.253814868064028809e-02	2.249875926766844308e-02
1.350000000000000089e+00	2.790564413052483705e-01	2.838440500807555278e-01	-1.021149978041847456e-01	-1.009977711759316860e-01	1.409337923598556475e-01	1.412900876386521676e-01	1.917393479466626346e-02	1.932433073133970475e-02
1.400000000000000133e+00	2.908517918207486619e-01	2.952419253756394801e-01	-1.020004104574926268e-01	-1.009404775008518607e-01	1.417842459168771052e-01	1.418451204867914595e-01	1.915782094458671342e-02	1.918109650623666881e-02
1.450000000000000178e+00	2.908124024448897060e-01	2.955373464400514738e-01	-1.018034634556183871e-01	-1.010998255309806387e-01	1.412918780669636942e-01	1.413813994943867725e-01	1.914349752185938100e-02	1.919004864504295430e-02
1.500000000000000000e+00	3.023839497732022652e-01	3.055046688337888505e-01	-1.018589667025709966e-01	-1.011374245042726688e-01	1.410967213564883471e-01	1.412793450674283691e-01	1.902353885844595624e-02	1.901100586340493531e-02
1.550000000000000044e+00	3.023481411312328171e-01	3.081724092579352092e-01	-1.017121516646830870e-01	-1.011320532222676760e-01	1.406974557922041902e-01	1.407995102196345771e-01	1.897877816298577935e-02	1.893043661193855032e-02
1.600000000000000089e+00	3.258153055954283173e-01	3.311669009819348530e-01	-1.022277947232878015e-01	-1.008061954556247614e-01	1.411772906405699968e-01	1.414440644935411606e-01	1.954813420894323597e-02	2.002259758110557647e-02
1.650000000000000133e+00	3.587377355964463388e-01	3.608379103312307490e-01	-1.019502784936077433e-01	-1.008366327193882389e-01	1.414619687787709024e-01	1.415300050632932183e-01	2.017657437395574058e-02	2.016404137903221247e-02
1.700000000000000178e+00	3.648413125749270236e-01	3.696432467920809928e-01	-1.020559137036207153e-01	-1.006969793909715249e-01	1.418128927731359679e-01	1.424055246218283999e-01	2.012465196683680888e-02	2.058837277291336240e-02
1.750000000000000000e+00	3.419757274827229798e-01	3.489458721636289895e-01	-1.017622836281478343e-01	-1.007865007554971243e-01	1.409427445020731140e-01	1.413617047809267724e-01	1.952306821920270219e-02	1.983997394331694919e-02
1.800000000000000044e+00	3.738292733447021177e-01	3.815155912944709349e-01	-1.018500145653406935e-01	-1.011714426227996039e-01	1.410394276433196981e-01	1.413258962097043436e-01	1.947651709648524909e-02	1.954097249788197196e-02
