# #Voltage (V)	 Balanced Pumped	 Balanced Umpumed	 referenceDiode closed	 referenceDiode	 Diode+ Pumped	 Diode+ Unpumped	 Diode- Pumped	 Diode- Unpumped
0.000000000000000000e+00	3.853383178924511820e-02	4.319252543328576388e-02	-1.020326381487886291e-01	-1.009834477578070155e-01	1.419113663430852934e-01	1.418845099150606304e-01	1.956245763162823073e-02	1.948905009073104849e-02
5.000000000000000278e-02	-1.369432999289927353e-03	-3.900691341575711693e-04	-1.022421181420273689e-01	-1.012520118508223183e-01	1.402319443739744875e-01	1.402534295164104827e-01	1.876034596907789898e-02	1.877825024778399798e-02
1.000000000000000056e-01	-9.471118370075136059e-03	-4.055074704565285980e-03	-1.020953031040327946e-01	-1.010622265581293533e-01	1.396679593859747603e-01	1.397825468120076908e-01	1.849894350859494080e-02	1.894834089025890581e-02
1.500000000000000222e-01	1.102927921410266736e-02	1.459760162096022072e-02	-1.020147338763619377e-01	-1.008366327190789724e-01	1.395372581034396431e-01	1.397861276688012189e-01	1.847745837482071135e-02	1.874244169086790660e-02
2.000000000000000111e-01	-1.854858660455993222e-02	-1.388094168676619854e-02	-1.019001465300389819e-01	-1.011803947595096981e-01	1.387279844103251891e-01	1.387781164089644248e-01	1.773980211634174076e-02	1.781141922910559755e-02
2.500000000000000000e-01	4.570628660389044334e-02	5.044734000004458263e-02	-1.024211608697018494e-01	-1.008205188741229941e-01	1.392239331113050704e-01	1.395318868178143101e-01	1.750167521776638258e-02	1.791526404186265589e-02
3.000000000000000444e-01	1.151928033393560535e-01	1.179661769694514001e-01	-1.017461697823038302e-01	-1.013415332157327625e-01	1.416875627759561218e-01	1.413867707813383223e-01	1.888925677218204410e-02	1.871916612960295573e-02
3.500000000000000333e-01	1.349806179178011933e-01	1.414064659866928197e-01	-1.018553858479834678e-01	-1.009852381847134856e-01	1.422085774817180015e-01	1.424108959073119018e-01	1.985787822146341947e-02	2.001901672528578341e-02
4.000000000000000222e-01	1.219069092370788365e-01	1.269541270520055110e-01	-1.023764001873178897e-01	-1.011410053590905689e-01	1.416983053459207054e-01	1.419292706281528038e-01	1.949800223006139047e-02	1.970927271254387103e-02
4.500000000000000111e-01	1.290632518502923820e-01	1.299853224949013564e-01	-1.020953031042474146e-01	-1.008491657104770012e-01	1.419901451998909492e-01	1.417090479182798179e-01	1.968778757850154354e-02	1.966451201730733123e-02
5.000000000000000000e-01	1.151820604248412483e-01	1.186375871396906784e-01	-1.018732901201625934e-01	-1.011231010857264190e-01	1.423285361945435534e-01	1.421584454830519817e-01	1.983281223208303509e-02	1.985071651052203873e-02
5.500000000000000444e-01	1.150567303924170670e-01	1.221217607554887091e-01	-1.019341646482477687e-01	-1.008044050281452358e-01	1.415514902063230995e-01	1.417197904888805315e-01	1.916140180010450500e-02	1.924734233523880955e-02
6.000000000000000888e-01	1.487508039124183501e-01	1.500470742812724523e-01	-1.019896678945320379e-01	-1.012788682611000662e-01	1.416642872045165980e-01	1.416750297753774923e-01	1.940131912752273910e-02	1.922406677347969842e-02
6.500000000000000222e-01	1.495385925225173052e-01	1.585605623815985465e-01	-1.020970935312728034e-01	-1.011410053587181584e-01	1.408729177895467755e-01	1.409660200730471213e-01	1.831273901596841905e-02	1.858667447161853337e-02
7.000000000000000666e-01	1.398577452442760494e-01	1.433025298199804287e-01	-1.018929848198606020e-01	-1.010156754483678004e-01	1.406276290798505468e-01	1.408818699319143442e-01	1.818203778571881105e-02	1.846313495208463940e-02
7.500000000000000000e-01	1.553592761547290535e-01	1.592301829261819901e-01	-1.017049899556516229e-01	-1.009583817753796214e-01	1.413455909239025865e-01	1.412721833535762195e-01	1.863859687796838235e-02	1.876571725287013229e-02
8.000000000000000444e-01	1.907596334069302513e-01	1.957603013942179615e-01	-1.019986200308436869e-01	-1.012323171505287167e-01	1.422246913386795431e-01	1.423267457654274204e-01	1.933686372620881805e-02	1.937267228236011149e-02
8.500000000000000888e-01	2.065565879144156125e-01	2.064670665961200746e-01	-1.021597584862227875e-01	-1.013128863790408729e-01	1.423464404803489736e-01	1.425290641914102596e-01	1.949263094651773262e-02	1.945324153454491833e-02
9.000000000000000222e-01	1.968829003532400757e-01	2.023437086173919264e-01	-1.019914583210357467e-01	-1.009512200653924358e-01	1.419829834854003936e-01	1.422354339104094367e-01	1.944966067894644129e-02	1.963407474422033602e-02
9.500000000000000666e-01	2.084812991778899061e-01	2.109198635689250589e-01	-1.021006743856745502e-01	-1.010658074129063139e-01	1.414386932085278659e-01	1.416589159189433622e-01	1.889462805564966208e-02	1.900921543583501683e-02
1.000000000000000000e+00	2.309529748200108978e-01	2.353126700427901064e-01	-1.016083068810674922e-01	-1.011696521958353329e-01	1.415371667778776987e-01	1.417735033454010918e-01	1.886598121051239613e-02	1.917930607825990910e-02
1.050000000000000044e+00	2.428790240891863517e-01	2.458457655596291980e-01	-1.017318463646693510e-01	-1.012896108242337667e-01	1.410644936424748364e-01	1.412811354961650001e-01	1.901816757509677824e-02	1.888746634418219869e-02
1.100000000000000089e+00	2.500693883251690619e-01	2.562051899016519196e-01	-1.020165243029386715e-01	-1.009154115200098512e-01	1.413527526379532162e-01	1.416374307756802231e-01	1.872274698514359362e-02	1.897340687930112665e-02
1.150000000000000133e+00	2.817152294748227481e-01	2.844671198625104425e-01	-1.018643379838106849e-01	-1.010765499760670622e-01	1.417967789164054082e-01	1.417000957748856815e-01	1.944249896715762385e-02	1.936551057146275803e-02
1.200000000000000178e+00	2.830956507671706923e-01	2.880712547397627499e-01	-1.017515410645402074e-01	-1.009923998938223044e-01	1.416428020615996541e-01	1.418845099149506350e-01	1.935834885992363322e-02	1.954276292558160960e-02
1.250000000000000000e+00	3.002515484202258889e-01	3.046685388729707955e-01	-1.017390080736513269e-01	-1.011642809134082610e-01	1.418325874875953907e-01	1.419865643418707357e-01	1.953560121429843630e-02	1.954097249735871691e-02
1.300000000000000044e+00	3.102886973882562627e-01	3.163994346351896025e-01	-1.023119448052959291e-01	-1.009906094659033110e-01	1.413867707807731078e-01	1.415890892055939321e-01	1.915961137208171614e-02	1.936909142688285346e-02
1.350000000000000089e+00	2.983859203784089975e-01	3.026005919239844189e-01	-1.020290572949053565e-01	-1.009261540834549553e-01	1.405219937959518439e-01	1.407081983645537548e-01	1.941385212268165184e-02	1.951411608012458554e-02
1.400000000000000133e+00	3.256881854312938529e-01	3.284114296321583581e-01	-1.018983561023006634e-01	-1.009601722023724529e-01	1.408568039331889732e-01	1.407583303632958249e-01	1.910410810987189442e-02	1.910947939360202463e-02
1.450000000000000178e+00	3.178478924838557540e-01	3.187466883413548890e-01	-1.019377455029088775e-01	-1.013164672334447153e-01	1.407368452205697007e-01	1.405542215101004966e-01	1.899668244119247576e-02	1.902711971391796847e-02
1.500000000000000000e+00	3.431538306579761666e-01	3.475761931259931936e-01	-1.019574402028228799e-01	-1.012305267228807287e-01	1.409445349308519613e-01	1.408675465036147156e-01	1.916677308358921000e-02	1.910947939356342357e-02
1.550000000000000044e+00	3.531104130685636111e-01	3.573984937208811719e-01	-1.019037273835501911e-01	-1.010819212585160609e-01	1.412256322116403617e-01	1.414369027789649236e-01	1.929210303064763515e-02	1.941922340584303214e-02
1.600000000000000089e+00	3.598585453003920742e-01	3.646783836203199014e-01	-1.019735540490721015e-01	-1.010962446769444606e-01	1.414959869216621258e-01	1.415872987771090441e-01	1.939952869980667363e-02	1.944966067880516541e-02
1.650000000000000133e+00	4.064240623793963225e-01	4.109305766867672460e-01	-1.021508063500489033e-01	-1.012072511687413939e-01	1.419561270563438893e-01	1.419704504847331128e-01	1.996888474665602098e-02	2.009421469381690237e-02
1.700000000000000178e+00	4.346394636520587440e-01	4.404744787039090448e-01	-1.020004104577153237e-01	-1.011356340772301271e-01	1.418916716296684810e-01	1.419579174849933123e-01	2.018373608524019064e-02	2.017478394585536100e-02
1.750000000000000000e+00	4.716816953440283178e-01	4.728311523776320691e-01	-1.018267390112995302e-01	-1.009028785289501490e-01	1.419310610574411047e-01	1.420760857695164414e-01	2.039679699603757709e-02	2.054540250549110117e-02
1.800000000000000044e+00	4.433875095957457990e-01	4.480927626855812362e-01	-1.021901957500254837e-01	-1.009136210931350641e-01	1.416983053463846676e-01	1.420295346278868664e-01	2.007451998798127218e-02	2.054540250561783313e-02
1.850000000000000089e+00	4.492780279241219143e-01	4.540960785112009845e-01	-1.019628114849215478e-01	-1.011087776680497929e-01	1.418487013439674316e-01	1.420814570550578970e-01	2.062776218514681542e-02	2.077636769502729658e-02
1.900000000000000133e+00	4.604234625238928236e-01	4.665288336826000637e-01	-1.021418542131955487e-01	-1.011696521959548345e-01	1.415174720631502125e-01	1.414816634932357930e-01	1.974687169696586961e-02	1.934760629322257106e-02
1.950000000000000178e+00	4.882396071307339436e-01	4.904131909953095558e-01	-1.019556497756576030e-01	-1.009852381849993819e-01	1.418039406298668426e-01	1.418576534878893403e-01	1.962691303268229367e-02	1.971464399608473944e-02
2.000000000000000000e+00	5.013025960994939023e-01	5.032810230410713626e-01	-1.021132073764201703e-01	-1.009010881017820688e-01	1.419310610566700270e-01	1.422497573383895431e-01	1.992054319527822304e-02	1.998857945260405083e-02
2.050000000000000266e+00	4.571684588295317764e-01	4.609999817730902061e-01	-1.018947752475596880e-01	-1.011159393768302911e-01	1.415962509191663332e-01	1.415729753486915099e-01	1.981132709828047067e-02	1.985787822169107764e-02
2.100000000000000089e+00	4.631431277941986391e-01	4.714650531104059850e-01	-1.017443793552511161e-01	-1.011463766410678755e-01	1.413796090660248972e-01	1.418057310588323738e-01	1.963944602823760113e-02	1.982027923745734860e-02
2.149999999999999911e+00	4.975086716484088400e-01	5.018200312712604028e-01	-1.015796600447787246e-01	-1.015348993618860329e-01	1.411593863554654882e-01	1.411504342128738210e-01	1.927598918048234120e-02	1.933865415394277892e-02
2.200000000000000178e+00	5.071626794009165273e-01	5.105269009290209770e-01	-1.017604932011827862e-01	-1.009601722025113696e-01	1.411540150694093054e-01	1.411826619265539873e-01	1.956245763114096078e-02	1.948546923526606883e-02
2.250000000000000000e+00	5.411307565494927196e-01	5.454725542783664949e-01	-1.019556497742824669e-01	-1.011284723680808545e-01	1.414941964926311468e-01	1.416589159185763225e-01	1.962691303280561170e-02	1.978088982513471691e-02
2.300000000000000266e+00	5.634144777513494518e-01	5.661198214344416169e-01	-1.017443793555782017e-01	-1.011427957864418359e-01	1.418809290577738302e-01	1.420939900547082690e-01	1.975045255238550707e-02	1.990980062824312599e-02
2.350000000000000089e+00	5.705189141926411134e-01	5.717650551252990709e-01	-1.017390080744919739e-01	-1.011678617685391329e-01	1.411271586414550305e-01	1.414476453501533337e-01	1.938162442173884184e-02	1.951411608008914861e-02
2.400000000000000355e+00	5.967272692082453700e-01	6.042470874526981728e-01	-1.019413263576144507e-01	-1.009709147659249295e-01	1.419113663429610595e-01	1.420080494843961871e-01	1.953918206932108576e-02	1.968241629548274016e-02
2.450000000000000178e+00	6.026428599453715895e-01	6.087195898608069866e-01	-1.014919291076877145e-01	-1.013164672338351668e-01	1.415013582078402110e-01	1.415156816353991542e-01	1.911485067714580391e-02	1.901637714700166182e-02
2.500000000000000000e+00	6.125457449412716748e-01	6.144024235518809052e-01	-1.018786614020540660e-01	-1.011177298043410833e-01	1.419059950573901274e-01	1.419149472004064272e-01	1.905397613106290730e-02	1.907904212077032174e-02
2.550000000000000266e+00	6.246078932176145626e-01	6.298449105113288482e-01	-1.022224234413757760e-01	-1.007829199001418208e-01	1.422963084798145317e-01	1.424413331935227844e-01	1.922585720144265667e-02	1.951590650783454478e-02
2.600000000000000089e+00	6.157291351900369136e-01	6.188964112116233096e-01	-1.018142060200312310e-01	-1.013612279160278073e-01	1.421494933388778859e-01	1.419507557711965628e-01	1.914707837734873699e-02	1.895729302888523107e-02
2.650000000000000355e+00	6.148213851574148014e-01	6.158598366387944001e-01	-1.020004104577614673e-01	-1.011266819403901646e-01	1.415962509189543639e-01	1.418021502022434599e-01	1.914886880571670461e-02	1.911664110476602590e-02
2.700000000000000178e+00	6.297088374729175042e-01	6.352931991689232394e-01	-1.021579680587035160e-01	-1.012734969783316147e-01	1.421942540536823840e-01	1.423750873363738012e-01	1.941206169457217190e-02	1.954276292545657420e-02
2.750000000000000000e+00	6.469077419288535857e-01	6.493194554609207358e-01	-1.018804518300904238e-01	-1.010514839944112730e-01	1.419507557709903944e-01	1.420008877702300665e-01	1.942101383394499725e-02	1.939773827231416545e-02
2.800000000000000266e+00	6.811103981763292348e-01	6.815042938998205901e-01	-1.016441154279500020e-01	-1.012967725329354390e-01	1.433454996114199576e-01	1.432380738980968959e-01	1.979700367561354826e-02	1.972001527957192857e-02
2.850000000000000089e+00	6.712307838845643637e-01	6.753487820061205849e-01	-1.021382733589997344e-01	-1.010031424575495579e-01	1.430733544711532412e-01	1.434744104672425191e-01	1.996351346295252224e-02	2.031085646063520919e-02
2.900000000000000355e+00	6.594336156520548275e-01	6.559351078104032062e-01	-1.020612849853741039e-01	-1.013164672334950500e-01	1.422408051961111808e-01	1.422336434814477080e-01	1.971643442376477470e-02	1.972896741870725293e-02
2.950000000000000178e+00	6.851335058250137555e-01	6.902953276521625048e-01	-1.015528036358765013e-01	-1.012036703134373411e-01	1.426543941911396773e-01	1.425541301920205117e-01	2.006198699292172441e-02	1.985429736591505165e-02
3.000000000000000000e+00	6.858998093265851193e-01	6.885532328642129940e-01	-1.022403277141133715e-01	-1.012090415961487272e-01	1.424019437653832321e-01	1.423536021943850594e-01	2.019626907962625631e-02	2.007989127159856210e-02
3.050000000000000266e+00	7.097698824387097538e-01	7.087099447981355382e-01	-1.019413263573064471e-01	-1.010049328848271893e-01	1.424126863373163521e-01	1.425505493357064613e-01	2.005840613779544951e-02	2.001543586994373666e-02
3.100000000000000089e+00	7.112702632061194130e-01	7.115925417479862514e-01	-1.021884053225887296e-01	-1.013236289427291992e-01	1.426579750470699515e-01	1.427958380456416376e-01	2.006735827647580794e-02	2.017836480168661711e-02
3.150000000000000355e+00	7.225482102143346852e-01	7.250297526277127425e-01	-1.022761362603150925e-01	-1.009404775025160989e-01	1.426096334769265950e-01	1.430017373289385330e-01	2.016762223453759384e-02	2.038247357332393858e-02
3.200000000000000178e+00	7.022142466961619478e-01	7.063268740322593553e-01	-1.020469615674813174e-01	-1.009923998939403211e-01	1.433795177537048882e-01	1.436731480367964831e-01	2.041112041863132887e-02	2.076383469989664249e-02
3.250000000000000000e+00	6.735511874823635337e-01	6.777891445835160233e-01	-1.018159964471693074e-01	-1.013218385147257872e-01	1.428961020448919206e-01	1.429319106161097974e-01	2.016762223491148573e-02	2.033950330555703637e-02
3.300000000000000266e+00	6.611184146782216331e-01	6.578132741230511282e-01	-1.021490159226327160e-01	-1.013630183428766429e-01	1.422264817673689896e-01	1.423750873368737346e-01	2.026609576492894443e-02	2.037710229016535465e-02
3.350000000000000089e+00	6.851854265981144332e-01	6.870492681409163804e-01	-1.017175229466867614e-01	-1.012000894595267431e-01	1.424395427643886936e-01	1.425129503349075732e-01	1.996888474655505313e-02	2.020343079121732222e-02
3.400000000000000355e+00	7.312676267638349437e-01	7.341251608103089854e-01	-1.018714996930692451e-01	-1.010103041669315194e-01	1.429713000434915671e-01	1.431091630430080530e-01	2.010316683316186459e-02	2.023386806444416736e-02
3.450000000000000178e+00	7.022124554874120683e-01	7.055820527881156989e-01	-1.017980921741698797e-01	-1.010103041668774237e-01	1.420653431981666326e-01	1.421262177682313110e-01	1.959647575972179104e-02	1.966093116123339424e-02
3.500000000000000000e+00	6.993602942536040201e-01	7.038811408711402873e-01	-1.016638101269147360e-01	-1.011589096315751168e-01	1.424198480501008279e-01	1.425290641921660995e-01	1.997425602986617477e-02	1.987220164389969651e-02
3.550000000000000266e+00	7.046098475112930748e-01	7.029823427035140071e-01	-1.018285294386271217e-01	-1.010514839942459470e-01	1.422551286243885493e-01	1.421799306253301587e-01	1.970569185698057071e-02	1.972359613540967255e-02
3.600000000000000089e+00	6.799430355503023327e-01	6.855417234089474787e-01	-1.019305837935165632e-01	-1.008670699830790107e-01	1.419238993430202433e-01	1.419973069137253074e-01	1.950874479680968915e-02	1.962333217713533445e-02
3.650000000000000355e+00	6.543487837126151785e-01	6.585151227940357899e-01	-1.017014091007358706e-01	-1.010479031392684524e-01	1.417627607737281525e-01	1.419149471998082113e-01	1.946935538484601338e-02	1.956066720340013734e-02
3.700000000000000178e+00	6.429007523577671135e-01	6.448863426607159832e-01	-1.020165243035649760e-01	-1.009619626299631534e-01	1.415962509195461960e-01	1.416320594906435026e-01	1.946935538449601558e-02	1.970032057371514864e-02
3.750000000000000000e+00	6.466069486209415906e-01	6.501573780906428901e-01	-1.016960378188606767e-01	-1.010353701487290423e-01	1.410716553571153553e-01	1.412471173544445902e-01	1.944607982288236447e-02	1.954992463679560907e-02
3.800000000000000266e+00	6.657287805617968512e-01	6.707384147113503170e-01	-1.018339007199400431e-01	-1.010604361303051174e-01	1.418827194859733076e-01	1.419883547702174287e-01	1.937088185478171715e-02	1.931716902028192753e-02
3.850000000000000089e+00	6.866643247243731096e-01	6.879928269089587989e-01	-1.021239499402421813e-01	-1.012090415960824330e-01	1.424843034782138640e-01	1.422032061961362726e-01	1.981490795371703903e-02	1.956245763132536189e-02
3.900000000000000355e+00	6.603771737901880101e-01	6.605812833082700397e-01	-1.019825061851200171e-01	-1.008455848559464130e-01	1.417752937738206154e-01	1.419310610576375586e-01	1.896803559601325725e-02	1.934939672099656588e-02
3.950000000000000178e+00	6.706614258403154061e-01	6.742315514492168704e-01	-1.021633393416239988e-01	-1.009548009205864100e-01	1.415693944917804925e-01	1.417323234891758321e-01	1.910947939380157681e-02	1.932970201468385205e-02
4.000000000000000000e+00	6.685522947290843954e-01	6.725252672299409928e-01	-1.022224234409416926e-01	-1.009583817749011292e-01	1.418164736300799866e-01	1.419274801996506796e-01	1.927777960829935716e-02	1.965018859444328525e-02
4.049999999999999822e+00	6.495360979320222716e-01	6.519657164089026624e-01	-1.018732901202757807e-01	-1.010998255309067256e-01	1.419955164842900963e-01	1.420581814842109269e-01	1.915424008901035063e-02	1.913454538315825446e-02
4.100000000000000533e+00	6.609465318291911640e-01	6.686758345909734613e-01	-1.018983561025520040e-01	-1.009136210925552363e-01	1.417412756318744416e-01	1.416356403473404135e-01	1.945503196209377034e-02	1.944249896722886548e-02
4.150000000000000355e+00	6.635337100339820937e-01	6.699112349055257321e-01	-1.019198412294548689e-01	-1.010299988672103966e-01	1.419543366284639341e-01	1.417627607735315043e-01	1.972538656282729272e-02	1.975940469167501365e-02
4.200000000000000178e+00	7.025490573925815552e-01	7.047065311661171449e-01	-1.018804518293226352e-01	-1.009261540840443450e-01	1.429247489006907901e-01	1.429301201868876381e-01	2.042007255759016593e-02	2.052570779943012000e-02
4.250000000000000000e+00	7.216995446508628342e-01	7.211248147906120787e-01	-1.022886692509492879e-01	-1.012860299695885619e-01	1.429856234722889641e-01	1.431396003274368056e-01	2.028220961525373581e-02	2.045767154189880033e-02
4.299999999999999822e+00	6.915629525485033069e-01	6.957400357541628777e-01	-1.018052538832174420e-01	-1.014417971438558580e-01	1.428835690444087425e-01	1.427367539041089484e-01	2.031622774413593957e-02	2.013718496191036281e-02
4.350000000000000533e+00	6.836563954803939192e-01	6.872390542347002196e-01	-1.019771349030664381e-01	-1.009619626293954131e-01	1.424126863360667128e-01	1.424484949074618922e-01	1.956961934271569600e-02	1.975940469164888524e-02
4.400000000000000355e+00	6.884368543621346426e-01	6.950722032915249704e-01	-1.019699731942013410e-01	-1.009225732293393407e-01	1.420223729130233870e-01	1.421423316249781632e-01	1.942280426141656385e-02	1.961079918234927971e-02
4.450000000000000178e+00	6.986333779238752539e-01	7.045382304016734043e-01	-1.019431167840688796e-01	-1.009995616034998211e-01	1.418307970586441535e-01	1.420993613405767131e-01	1.931179773647435927e-02	1.939594784434729366e-02
4.500000000000000000e+00	7.210693110589664334e-01	7.225356770488998714e-01	-1.020075721667071666e-01	-1.011445862128730888e-01	1.416445924901544584e-01	1.418146832016691228e-01	1.898593987420664833e-02	1.923659976851505721e-02
4.549999999999999822e+00	7.260735763411042543e-01	7.291459621693973103e-01	-1.019377455028034063e-01	-1.010479031394592164e-01	1.421656071971137969e-01	1.421351699116157330e-01	1.932433073143348390e-02	1.948725966294142381e-02
4.600000000000000533e+00	7.288970926943946216e-01	7.281612239871997350e-01	-1.017443793554877601e-01	-1.010837116854790413e-01	1.420241633418438676e-01	1.420474389126687997e-01	1.949621180215306906e-02	1.952664907540114028e-02
4.650000000000000355e+00	7.013566280174778900e-01	7.095997880267426172e-01	-1.017300559374980651e-01	-1.008796029742822786e-01	1.422336434815364425e-01	1.424126863359172213e-01	1.991696233950026457e-02	2.011211897232639129e-02
