date	time	rotation	power	fwhm_x	fwhm_y	voltage
#0date	1time	2fluence	3power (mW) 4fwhmx(µm)	5fwhmy(µm)	6name	7voltage
20220511	143735	-11.2	15.0	1100	1200	5.0
20220511	143735	-8.2	30.0	1100	1200	5.0
20220511	143735	-6.1	44.0	1100	1200	5.0
20220511	143735	-4.4	56.0	1100	1200	5.0
20220511	143735	-2.4	72.0	1100	1200	5.0
20220511	143735	-0.7	86.0	1100	1200	5.0
20220511	143735	0.9	100.0	1100	1200	5.0
20220511	143735	2.5	115.0	1100	1200	5.0
20220511	143735	4.1	130.0	1100	1200	5.0
20220511	143735	5.6	144.0	1100	1200	5.0
