# 0Wavelength	 1Intensity
400.018	201.391
400.609	202.045
401.200	201.718
401.791	199.962
402.381	201.673
402.972	202.545
403.563	198.590
404.154	203.141
404.744	200.891
405.335	202.141
405.925	202.712
406.516	201.481
407.106	203.962
407.697	200.449
408.287	202.545
408.878	202.692
409.468	203.314
410.058	201.814
410.649	200.705
411.239	201.263
411.829	200.679
412.419	202.455
413.010	200.122
413.600	198.506
414.190	204.115
414.780	202.103
415.370	200.122
415.960	200.936
416.550	202.891
417.140	201.449
417.730	203.506
418.320	199.635
418.910	202.821
419.499	201.455
420.089	199.135
420.679	201.744
421.269	201.006
421.858	201.160
422.448	200.590
423.037	203.994
423.627	201.468
424.217	202.801
424.806	199.897
425.396	200.167
425.985	203.160
426.574	200.615
427.164	199.615
427.753	202.667
428.342	200.353
428.932	200.737
429.521	198.385
430.110	200.551
430.699	203.115
431.289	201.250
431.878	202.186
432.467	199.647
433.056	199.737
433.645	200.122
434.234	200.237
434.823	201.558
435.412	200.006
436.000	199.942
436.589	201.429
437.178	199.526
437.767	200.449
438.356	200.218
438.944	203.301
439.533	201.442
440.122	200.160
440.710	200.231
441.299	199.192
441.887	203.295
442.476	202.673
443.064	198.641
443.653	201.205
444.241	200.744
444.830	201.282
445.418	200.423
446.006	198.609
446.594	202.455
447.183	202.224
447.771	200.827
448.359	200.750
448.947	201.455
449.535	200.801
450.123	201.782
450.711	202.128
451.299	204.115
451.887	198.051
452.475	198.923
453.063	199.077
453.651	198.179
454.239	199.077
454.827	200.513
455.414	201.090
456.002	199.801
456.590	200.814
457.177	199.846
457.765	200.250
458.353	198.532
458.940	200.385
459.528	198.103
460.115	201.628
460.703	199.571
461.290	198.917
461.878	201.314
462.465	201.532
463.052	200.487
463.639	200.808
464.227	200.103
464.814	201.147
465.401	200.340
465.988	197.776
466.575	198.096
467.162	199.314
467.750	201.135
468.337	202.160
468.923	201.885
469.510	202.436
470.097	200.455
470.684	201.750
471.271	198.865
471.858	200.776
472.445	200.500
473.031	201.641
473.618	198.513
474.205	202.808
474.791	200.038
475.378	199.647
475.964	197.513
476.551	201.167
477.137	200.397
477.724	199.000
478.310	200.462
478.897	200.859
479.483	198.647
480.069	203.032
480.656	198.750
481.242	200.532
481.828	200.192
482.414	200.308
483.000	198.801
483.586	200.231
484.173	201.859
484.759	200.083
485.345	200.359
485.931	197.564
486.517	202.397
487.102	203.840
487.688	200.647
488.274	202.013
488.860	199.442
489.446	201.776
490.031	198.115
490.617	200.891
491.203	198.917
491.788	198.673
492.374	199.936
492.959	198.872
493.545	202.141
494.130	202.250
494.716	198.410
495.301	198.628
495.887	201.019
496.472	200.519
497.057	200.314
497.643	201.250
498.228	199.968
498.813	199.391
499.398	200.244
499.983	199.718
500.568	200.026
501.153	198.212
501.738	200.301
502.323	199.006
502.908	196.301
503.493	199.814
504.078	199.083
504.663	200.192
505.248	199.897
505.833	201.179
506.417	200.436
507.002	198.641
507.587	197.442
508.171	200.096
508.756	198.763
509.340	200.526
509.925	197.436
510.509	198.686
511.094	197.891
511.678	199.917
512.263	199.577
512.847	199.821
513.431	198.500
514.016	201.064
514.600	200.577
515.184	199.397
515.768	200.609
516.352	200.071
